,DBA Name,Zip,n_failed,n_pwc,n_inspections,n_passed,most_recent_inspection,Chains,recent_pass,recent_pwc,recent_fail
4094,kokopelli chicago,60622.0,0,0,0,0,2014-10-21,1,1.0,0.0,0.0
4095,komorebi,60622.0,0,0,4,2,2019-12-04,1,0.0,1.0,0.0
4096,konak restaurant,60640.0,1,2,10,7,2019-11-29,1,0.0,1.0,0.0
4097,"kopi, a traveler's cafe",60640.0,1,3,14,10,2019-01-28,1,1.0,0.0,0.0
4098,korean air lounge,60666.0,0,0,0,0,2016-02-11,1,0.0,0.0,1.0
4099,korean bbq house,60659.0,3,0,13,9,2019-06-27,1,0.0,1.0,0.0
4100,korean seoul food,60607.0,1,0,1,0,2011-02-15,1,1.0,0.0,0.0
4101,korona lounge inc,60632.0,0,0,4,4,2017-11-09,1,1.0,0.0,0.0
4102,koulou inc.,60615.0,1,0,3,1,2019-02-22,1,0.0,1.0,0.0
4103,krispy chicken & seafood,60620.0,0,0,0,0,2017-12-26,1,1.0,0.0,0.0
4104,krispy kreme doughnuts,60602.0,0,0,1,0,2019-10-18,1,1.0,0.0,0.0
4105,krispy krunchy,60609.0,1,0,2,0,2019-06-12,1,0.0,1.0,0.0
4106,krispy krunchy chicken,60644.0,0,0,1,1,2019-04-23,2,0.0,1.0,0.0
4107,krispy krunchy chicken,60660.0,2,3,12,7,2019-10-17,2,0.0,1.0,0.0
4108,krispy's chicken & seafood,60619.0,0,0,0,0,2018-11-30,1,0.0,1.0,0.0
4109,krispy's sea food and chicken,60617.0,1,0,2,1,2018-01-12,1,1.0,0.0,0.0
4110,krispy's seafood & chicken,60652.0,1,1,5,3,2019-11-04,1,0.0,1.0,0.0
4111,krispy's seafood and chicken,60619.0,0,0,1,1,2017-09-12,1,0.0,1.0,0.0
4112,kristoffer's cafe and bakery,60608.0,2,0,6,4,2019-02-28,1,0.0,1.0,0.0
4113,kroll's south loop,60616.0,2,2,12,8,2019-07-08,1,0.0,1.0,0.0
4114,kubo,60657.0,0,0,0,0,2019-10-15,1,0.0,1.0,0.0
4116,kuma's corner,60607.0,1,0,5,4,2019-10-03,2,0.0,1.0,0.0
4117,kuma's corner,60618.0,7,3,16,6,2019-12-26,2,0.0,1.0,0.0
4118,kumas too,60614.0,0,0,0,0,2013-02-14,1,1.0,0.0,0.0
4119,kumiko,60661.0,0,2,3,0,2019-09-19,1,1.0,0.0,0.0
4120,kung fu tea,60640.0,1,0,4,1,2020-01-15,1,0.0,1.0,0.0
4121,kung fu wok restaurant,60646.0,1,1,2,0,2019-10-16,1,1.0,0.0,0.0
4122,kungfu tea,60616.0,0,0,2,2,2016-09-29,1,1.0,0.0,0.0
4123,kurah,60605.0,3,4,14,5,2019-12-16,1,1.0,0.0,0.0
4124,kusanya inc,60621.0,2,0,8,6,2019-10-25,1,0.0,1.0,0.0
4125,kwei lin carry-out,60617.0,0,2,11,9,2019-07-15,1,0.0,1.0,0.0
4126,kylin,60616.0,1,2,9,6,2019-01-08,1,0.0,1.0,0.0
4127,kyoten,60647.0,2,2,7,0,2019-11-27,1,0.0,1.0,0.0
4128,l & b kitchen,60644.0,3,2,8,2,2020-01-28,1,0.0,1.0,0.0
4129,l & e vienna,60651.0,1,0,2,1,2016-09-26,1,1.0,0.0,0.0
4130,"l & g chicago style, inc.",60620.0,1,0,1,0,2011-10-13,1,1.0,0.0,0.0
4131,l & g family restaurant inc,60617.0,2,5,15,8,2019-02-15,1,1.0,0.0,0.0
4132,l & g restaurant,60649.0,2,5,14,7,2020-01-14,1,1.0,0.0,0.0
4133,l & m grill inc.,60638.0,0,1,5,4,2020-01-23,1,1.0,0.0,0.0
4134,l & m starlight restaurant inc,60652.0,2,3,16,11,2019-09-27,1,0.0,1.0,0.0
4135,l & t china fast wok inc.,60647.0,1,1,5,3,2019-10-23,1,1.0,0.0,0.0
4136,l c pho restaurant,60625.0,4,1,11,6,2019-03-18,1,0.0,1.0,0.0
4137,l cafecito jumping bean,60608.0,0,1,1,0,2019-12-11,1,1.0,0.0,0.0
4138,l' patron,60647.0,2,1,8,4,2019-12-06,1,1.0,0.0,0.0
4139,l'appetito imp italian fds inc,60611.0,1,2,10,7,2019-09-04,1,0.0,1.0,0.0
4140,la  michoacana,60608.0,0,0,0,0,2019-02-05,1,0.0,1.0,0.0
4141,la amistad inc.,60613.0,3,1,5,0,2019-06-25,1,0.0,1.0,0.0
4142,la amistad restaurant,60613.0,0,0,2,2,2011-12-29,1,1.0,0.0,0.0
4143,la antigua hacienda,60623.0,3,1,8,4,2019-08-23,1,0.0,1.0,0.0
4144,la azteca paleteria,60623.0,4,1,10,4,2019-05-15,1,1.0,0.0,0.0
4145,la baguette,60623.0,4,6,15,5,2019-04-05,1,1.0,0.0,0.0
4146,la baguette bakery,60609.0,1,0,3,2,2019-07-02,2,0.0,1.0,0.0
4147,la baguette bakery,60629.0,0,1,1,0,2019-09-12,2,0.0,1.0,0.0
4148,"la bahia de acapulco, inc.",60609.0,1,3,12,8,2019-04-19,1,0.0,1.0,0.0
4149,la barca,60609.0,1,2,13,9,2019-11-29,1,0.0,1.0,0.0
4150,la barca el taconazo,60652.0,1,2,6,2,2019-03-25,1,0.0,1.0,0.0
4151,la biznaga,60641.0,0,0,4,4,2019-06-19,1,0.0,1.0,0.0
4152,la bomba restaurant,60647.0,7,1,17,8,2019-09-06,1,0.0,1.0,0.0
4153,la boulangerie,60647.0,4,3,8,1,2019-09-27,1,0.0,1.0,0.0
4154,la boulangerie belmont,60657.0,0,1,1,0,2019-12-30,1,0.0,1.0,0.0
4155,la bruquena restaurant & lounge,60622.0,1,1,11,8,2019-02-01,1,0.0,1.0,0.0
4156,la burdick chicago llc,60654.0,1,0,2,1,2019-02-11,1,0.0,1.0,0.0
4157,la cabana grill,60639.0,1,0,1,0,2016-01-08,1,1.0,0.0,0.0
4158,la cabanita inc,60617.0,1,0,1,0,2019-03-28,1,1.0,0.0,0.0
4159,la caffe ltd,60634.0,1,0,5,4,2016-08-03,1,1.0,0.0,0.0
4160,la calavera,60642.0,0,0,2,2,2019-09-03,1,0.0,1.0,0.0
4161,la cantina grill,60616.0,0,6,10,4,2019-07-08,1,0.0,1.0,0.0
4162,la casa de denisse,60618.0,1,0,2,0,2019-04-12,1,0.0,1.0,0.0
4163,la casa de samuel rest.,60623.0,4,4,18,10,2019-05-10,1,1.0,0.0,0.0
4164,"la casa del borrego, inc.",60623.0,1,0,1,0,2019-04-16,1,0.0,1.0,0.0
4165,la casa del buffet,60623.0,1,0,2,1,2019-06-06,1,0.0,1.0,0.0
4166,la casa del pueblo,60608.0,1,0,2,1,2019-03-13,1,0.0,1.0,0.0
4167,la catedral cafe,60625.0,1,2,7,3,2019-04-26,1,0.0,1.0,0.0
4168,la catrina restaurant llc,60647.0,1,2,4,0,2019-10-31,1,0.0,1.0,0.0
4169,"la cebollita grill #2, inc.",60608.0,0,0,0,0,2013-09-26,1,1.0,0.0,0.0
4170,la cebollita restaurant,60632.0,0,0,0,0,2019-09-06,1,0.0,1.0,0.0
4171,la cecina 4,60608.0,2,2,8,4,2019-10-25,1,0.0,1.0,0.0
4172,la cecina restaurant,60609.0,0,0,2,0,2019-11-25,1,0.0,1.0,0.0
4173,la central bakery,60632.0,4,2,10,4,2019-07-10,1,1.0,0.0,0.0
4174,la chaparrita,60632.0,1,1,3,1,2019-08-21,1,0.0,1.0,0.0
4175,la chilangueada,60639.0,2,4,12,6,2019-06-18,1,0.0,1.0,0.0
4176,"la chiquita bakery, inc.",60629.0,0,0,2,2,2016-10-07,1,1.0,0.0,0.0
4177,la choza mexican grill,60626.0,3,2,13,8,2019-05-08,1,0.0,1.0,0.0
4178,la cocina,60606.0,5,0,7,2,2019-10-24,3,0.0,1.0,0.0
4179,la cocina,60608.0,4,2,10,4,2017-11-14,3,0.0,1.0,0.0
4180,la cocina,60618.0,1,1,10,8,2019-06-24,3,0.0,1.0,0.0
4181,"la cocina mexican grill, llc",60606.0,0,3,14,11,2019-04-30,1,0.0,1.0,0.0
4182,la cocina restaurant & bar,60605.0,1,2,11,8,2019-11-19,1,0.0,1.0,0.0
4183,la colombe,60607.0,1,3,9,5,2018-09-25,2,0.0,1.0,0.0
